Date,Overall AQI Value,Main Pollutant,Ozone,PM25,AQI_max (2000-2021),AQI_min (2000-2021),area
2011-01-01,33.0,Ozone,33.0,0.0,49.0,7.0,Chautauqua_NY
2011-01-02,32.0,Ozone,32.0,0.0,39.0,20.0,Chautauqua_NY
2011-01-03,34.0,Ozone,34.0,20.0,34.0,12.0,Chautauqua_NY
2011-01-04,32.0,Ozone,32.0,0.0,50.0,13.0,Chautauqua_NY
2011-01-05,37.0,Ozone,37.0,0.0,58.0,22.0,Chautauqua_NY
2011-01-06,56.0,PM2.5,31.0,56.0,56.0,18.0,Chautauqua_NY
2011-01-07,33.0,Ozone,33.0,0.0,63.0,20.0,Chautauqua_NY
2011-01-08,31.0,Ozone,31.0,0.0,42.0,16.0,Chautauqua_NY
2011-01-09,34.0,Ozone,34.0,15.0,34.0,22.0,Chautauqua_NY
2011-01-10,33.0,Ozone,33.0,0.0,54.0,13.0,Chautauqua_NY
2011-01-11,33.0,Ozone,33.0,0.0,57.0,22.0,Chautauqua_NY
2011-01-12,33.0,Ozone,33.0,15.0,36.0,19.0,Chautauqua_NY
2011-01-13,36.0,Ozone,36.0,0.0,77.0,20.0,Chautauqua_NY
2011-01-14,31.0,Ozone,31.0,0.0,56.0,13.0,Chautauqua_NY
2011-01-15,56.0,PM2.5,34.0,56.0,56.0,17.0,Chautauqua_NY
2011-01-16,39.0,Ozone,39.0,0.0,52.0,22.0,Chautauqua_NY
2011-01-17,38.0,Ozone,38.0,0.0,54.0,23.0,Chautauqua_NY
2011-01-18,35.0,PM2.5,31.0,35.0,40.0,17.0,Chautauqua_NY
2011-01-19,32.0,Ozone,32.0,0.0,66.0,23.0,Chautauqua_NY
2011-01-20,37.0,Ozone,37.0,0.0,54.0,16.0,Chautauqua_NY
2011-01-21,32.0,Ozone,32.0,23.0,56.0,23.0,Chautauqua_NY
2011-01-22,33.0,Ozone,33.0,0.0,66.0,29.0,Chautauqua_NY
2011-01-23,31.0,Ozone,31.0,0.0,47.0,22.0,Chautauqua_NY
2011-01-24,31.0,Ozone,31.0,0.0,60.0,25.0,Chautauqua_NY
2011-01-25,32.0,Ozone,32.0,0.0,77.0,24.0,Chautauqua_NY
2011-01-26,30.0,Ozone,30.0,0.0,45.0,16.0,Chautauqua_NY
2011-01-27,53.0,PM2.5,32.0,53.0,53.0,24.0,Chautauqua_NY
2011-01-28,29.0,Ozone,29.0,0.0,68.0,20.0,Chautauqua_NY
2011-01-29,31.0,Ozone,31.0,0.0,61.0,24.0,Chautauqua_NY
2011-01-30,35.0,Ozone,35.0,31.0,40.0,17.0,Chautauqua_NY
2011-01-31,34.0,Ozone,34.0,0.0,58.0,15.0,Chautauqua_NY
2011-02-01,31.0,Ozone,31.0,0.0,61.0,15.0,Chautauqua_NY
2011-02-02,38.0,Ozone,38.0,21.0,48.0,19.0,Chautauqua_NY
2011-02-03,39.0,Ozone,39.0,0.0,75.0,16.0,Chautauqua_NY
2011-02-04,41.0,Ozone,41.0,0.0,54.0,24.0,Chautauqua_NY
2011-02-05,44.0,PM2.5,31.0,44.0,45.0,19.0,Chautauqua_NY
2011-02-06,40.0,Ozone,40.0,0.0,63.0,19.0,Chautauqua_NY
2011-02-07,32.0,Ozone,32.0,0.0,52.0,21.0,Chautauqua_NY
2011-02-08,36.0,Ozone,36.0,14.0,53.0,24.0,Chautauqua_NY
2011-02-09,37.0,Ozone,37.0,0.0,61.0,28.0,Chautauqua_NY
2011-02-10,37.0,Ozone,37.0,0.0,63.0,19.0,Chautauqua_NY
2011-02-11,56.0,PM2.5,37.0,56.0,56.0,28.0,Chautauqua_NY
2011-02-12,45.0,Ozone,45.0,0.0,57.0,29.0,Chautauqua_NY
2011-02-13,45.0,Ozone,45.0,0.0,55.0,23.0,Chautauqua_NY
2011-02-14,45.0,Ozone,45.0,0.0,45.0,25.0,Chautauqua_NY
2011-02-15,36.0,Ozone,36.0,0.0,50.0,22.0,Chautauqua_NY
2011-02-16,41.0,Ozone,41.0,0.0,52.0,28.0,Chautauqua_NY
2011-02-17,71.0,Ozone,71.0,0.0,71.0,32.0,Chautauqua_NY
2011-02-18,41.0,Ozone,41.0,0.0,61.0,31.0,Chautauqua_NY
2011-02-19,39.0,Ozone,39.0,0.0,53.0,26.0,Chautauqua_NY
2011-02-20,35.0,Ozone,35.0,15.0,45.0,29.0,Chautauqua_NY
2011-02-21,37.0,Ozone,37.0,0.0,60.0,18.0,Chautauqua_NY
2011-02-22,35.0,Ozone,35.0,0.0,62.0,17.0,Chautauqua_NY
2011-02-23,39.0,Ozone,39.0,24.0,49.0,21.0,Chautauqua_NY
2011-02-24,25.0,Ozone,25.0,0.0,62.0,21.0,Chautauqua_NY
2011-02-25,38.0,Ozone,38.0,0.0,47.0,0.0,Chautauqua_NY
2011-02-26,43.0,PM2.5,42.0,43.0,43.0,31.0,Chautauqua_NY
2011-02-27,38.0,Ozone,38.0,0.0,54.0,30.0,Chautauqua_NY
2011-02-28,41.0,Ozone,41.0,0.0,58.0,32.0,Chautauqua_NY
