Date,Overall AQI monthly high,Overall AQI monthly low,Overall AQI monthly average,Ozone AQI monthly average,PM25 AQI monthly average,area
2011-01-01,56.0,29.0,35.354838709677416,33.03225806451613,9.806451612903226,Chautauqua_NY
2011-02-01,71.0,25.0,40.17857142857143,39.0,7.75,Chautauqua_NY
2011-03-01,49.0,36.0,40.74193548387097,40.25806451612903,7.967741935483871,Chautauqua_NY
2011-04-01,58.0,30.0,43.166666666666664,43.166666666666664,6.833333333333333,Chautauqua_NY
2011-05-01,97.0,19.0,46.774193548387096,46.774193548387096,7.193548387096774,Chautauqua_NY
2011-06-01,159.0,26.0,53.86666666666667,53.833333333333336,12.366666666666667,Chautauqua_NY
2011-07-01,129.0,31.0,69.80645161290323,69.64516129032258,15.612903225806452,Chautauqua_NY
2011-08-01,97.0,29.0,50.83870967741935,50.29032258064516,13.741935483870968,Chautauqua_NY
2011-09-01,88.0,17.0,38.9,38.233333333333334,10.633333333333333,Chautauqua_NY
2011-10-01,49.0,21.0,31.387096774193548,31.387096774193548,6.32258064516129,Chautauqua_NY
2011-11-01,44.0,15.0,32.13333333333333,32.13333333333333,6.466666666666667,Chautauqua_NY
2011-12-01,54.0,18.0,28.096774193548388,26.903225806451612,6.0,Chautauqua_NY
2012-01-01,41.0,16.0,29.64516129032258,29.258064516129032,6.258064516129032,Chautauqua_NY
2012-02-01,44.0,24.0,33.206896551724135,32.0,9.448275862068966,Chautauqua_NY
2012-03-01,54.0,30.0,41.354838709677416,40.645161290322584,9.548387096774194,Chautauqua_NY
2012-04-01,84.0,32.0,45.63333333333333,45.36666666666667,6.333333333333333,Chautauqua_NY
2012-05-01,122.0,36.0,60.70967741935484,60.354838709677416,9.741935483870968,Chautauqua_NY
2012-06-01,197.0,28.0,69.36666666666666,69.36666666666666,11.6,Chautauqua_NY
2012-07-01,136.0,27.0,66.61290322580645,65.16129032258064,14.064516129032258,Chautauqua_NY
2012-08-01,143.0,25.0,63.225806451612904,63.225806451612904,15.03225806451613,Chautauqua_NY
2012-09-01,105.0,25.0,43.333333333333336,42.833333333333336,7.9,Chautauqua_NY
2012-10-01,58.0,18.0,33.38709677419355,33.354838709677416,5.806451612903226,Chautauqua_NY
2012-11-01,67.0,21.0,33.9,31.5,9.733333333333333,Chautauqua_NY
