Date,Overall AQI Value,Main Pollutant,Ozone,PM25,AQI_max (2000-2021),AQI_min (2000-2021),area
2011-01-01,43.0,Ozone,43.0,0.0,53.0,12.0,Coos_NH
2011-01-02,45.0,Ozone,45.0,0.0,59.0,6.0,Coos_NH
2011-01-03,39.0,Ozone,39.0,0.0,44.0,5.0,Coos_NH
2011-01-04,38.0,Ozone,38.0,0.0,69.0,8.0,Coos_NH
2011-01-05,38.0,Ozone,38.0,0.0,60.0,12.0,Coos_NH
2011-01-06,40.0,Ozone,40.0,6.0,45.0,5.0,Coos_NH
2011-01-07,44.0,Ozone,44.0,0.0,71.0,7.0,Coos_NH
2011-01-08,44.0,Ozone,44.0,0.0,66.0,12.0,Coos_NH
2011-01-09,34.0,Ozone,34.0,8.0,47.0,3.0,Coos_NH
2011-01-10,45.0,Ozone,45.0,0.0,57.0,7.0,Coos_NH
2011-01-11,45.0,Ozone,45.0,0.0,58.0,10.0,Coos_NH
2011-01-12,44.0,Ozone,44.0,5.0,47.0,4.0,Coos_NH
2011-01-13,36.0,Ozone,36.0,0.0,54.0,8.0,Coos_NH
2011-01-14,45.0,Ozone,45.0,0.0,48.0,8.0,Coos_NH
2011-01-15,46.0,Ozone,46.0,9.0,57.0,5.0,Coos_NH
2011-01-16,38.0,Ozone,38.0,0.0,60.0,0.0,Coos_NH
2011-01-17,46.0,Ozone,46.0,0.0,50.0,15.0,Coos_NH
2011-01-18,44.0,Ozone,44.0,0.0,63.0,9.0,Coos_NH
2011-01-19,44.0,Ozone,44.0,0.0,97.0,14.0,Coos_NH
2011-01-20,44.0,Ozone,44.0,0.0,63.0,29.0,Coos_NH
2011-01-21,42.0,Ozone,42.0,21.0,48.0,6.0,Coos_NH
2011-01-22,40.0,Ozone,40.0,0.0,56.0,2.0,Coos_NH
2011-01-23,35.0,Ozone,35.0,0.0,64.0,1.0,Coos_NH
2011-01-24,43.0,Ozone,43.0,13.0,64.0,5.0,Coos_NH
2011-01-25,42.0,Ozone,42.0,0.0,52.0,10.0,Coos_NH
2011-01-26,45.0,Ozone,45.0,0.0,47.0,2.0,Coos_NH
2011-01-27,44.0,Ozone,44.0,23.0,44.0,11.0,Coos_NH
2011-01-28,42.0,Ozone,42.0,0.0,56.0,11.0,Coos_NH
2011-01-29,37.0,Ozone,37.0,0.0,61.0,9.0,Coos_NH
2011-01-30,38.0,Ozone,38.0,23.0,62.0,7.0,Coos_NH
2011-01-31,44.0,Ozone,44.0,0.0,63.0,14.0,Coos_NH
2011-02-01,44.0,Ozone,44.0,0.0,46.0,15.0,Coos_NH
2011-02-02,42.0,Ozone,42.0,5.0,44.0,12.0,Coos_NH
2011-02-03,44.0,Ozone,44.0,0.0,81.0,14.0,Coos_NH
2011-02-04,44.0,Ozone,44.0,0.0,48.0,13.0,Coos_NH
2011-02-05,49.0,Ozone,49.0,14.0,49.0,10.0,Coos_NH
2011-02-06,40.0,Ozone,40.0,0.0,61.0,14.0,Coos_NH
2011-02-07,44.0,Ozone,44.0,0.0,58.0,13.0,Coos_NH
2011-02-08,40.0,Ozone,40.0,24.0,49.0,3.0,Coos_NH
2011-02-09,40.0,Ozone,40.0,0.0,54.0,10.0,Coos_NH
2011-02-10,40.0,Ozone,40.0,0.0,48.0,28.0,Coos_NH
2011-02-11,43.0,Ozone,43.0,24.0,49.0,4.0,Coos_NH
2011-02-12,40.0,Ozone,40.0,0.0,69.0,14.0,Coos_NH
