Date,Overall AQI Value,Main Pollutant,Ozone,AQI_max (2000-2021),AQI_min (2000-2021),area
2011-01-01,21.0,Ozone,21.0,38.0,19.0,Hamilton_NY
2011-01-02,35.0,Ozone,35.0,35.0,13.0,Hamilton_NY
2011-01-03,39.0,Ozone,39.0,39.0,19.0,Hamilton_NY
2011-01-04,28.0,Ozone,28.0,35.0,20.0,Hamilton_NY
2011-01-05,39.0,Ozone,39.0,39.0,19.0,Hamilton_NY
2011-01-06,35.0,Ozone,35.0,35.0,20.0,Hamilton_NY
2011-01-07,30.0,Ozone,30.0,38.0,18.0,Hamilton_NY
2011-01-08,32.0,Ozone,32.0,37.0,22.0,Hamilton_NY
2011-01-09,36.0,Ozone,36.0,39.0,18.0,Hamilton_NY
2011-01-10,36.0,Ozone,36.0,40.0,20.0,Hamilton_NY
2011-01-11,32.0,Ozone,32.0,37.0,15.0,Hamilton_NY
2011-01-12,36.0,Ozone,36.0,38.0,19.0,Hamilton_NY
2011-01-13,38.0,Ozone,38.0,42.0,19.0,Hamilton_NY
2011-01-14,40.0,Ozone,40.0,40.0,19.0,Hamilton_NY
2011-01-15,31.0,Ozone,31.0,39.0,17.0,Hamilton_NY
2011-01-16,39.0,Ozone,39.0,40.0,19.0,Hamilton_NY
2011-01-17,36.0,Ozone,36.0,38.0,23.0,Hamilton_NY
2011-01-18,30.0,Ozone,30.0,35.0,22.0,Hamilton_NY
2011-01-19,28.0,Ozone,28.0,36.0,25.0,Hamilton_NY
2011-01-20,33.0,Ozone,33.0,40.0,24.0,Hamilton_NY
2011-01-21,35.0,Ozone,35.0,41.0,20.0,Hamilton_NY
2011-01-22,32.0,Ozone,32.0,38.0,19.0,Hamilton_NY
2011-01-23,36.0,Ozone,36.0,38.0,24.0,Hamilton_NY
2011-01-24,37.0,Ozone,37.0,39.0,22.0,Hamilton_NY
2011-01-25,30.0,Ozone,30.0,40.0,27.0,Hamilton_NY
2011-01-26,33.0,Ozone,33.0,37.0,22.0,Hamilton_NY
2011-01-27,36.0,Ozone,36.0,39.0,27.0,Hamilton_NY
2011-01-28,34.0,Ozone,34.0,38.0,0.0,Hamilton_NY
2011-01-29,38.0,Ozone,38.0,39.0,17.0,Hamilton_NY
2011-01-30,35.0,Ozone,35.0,38.0,25.0,Hamilton_NY
2011-01-31,41.0,Ozone,41.0,44.0,27.0,Hamilton_NY
2011-02-01,37.0,Ozone,37.0,46.0,27.0,Hamilton_NY
2011-02-02,38.0,Ozone,38.0,39.0,22.0,Hamilton_NY
2011-02-03,38.0,no data this day,38.0,39.0,26.0,Hamilton_NY
2011-02-04,41.0,Ozone,41.0,42.0,30.0,Hamilton_NY
2011-02-05,37.0,Ozone,37.0,41.0,25.0,Hamilton_NY
2011-02-06,38.0,Ozone,38.0,42.0,28.0,Hamilton_NY
2011-02-07,32.0,Ozone,32.0,43.0,0.0,Hamilton_NY
2011-02-08,35.0,Ozone,35.0,41.0,0.0,Hamilton_NY
2011-02-09,38.0,Ozone,38.0,40.0,13.0,Hamilton_NY
2011-02-10,38.0,Ozone,38.0,40.0,25.0,Hamilton_NY
2011-02-11,37.0,Ozone,37.0,40.0,27.0,Hamilton_NY
2011-02-12,40.0,Ozone,40.0,43.0,31.0,Hamilton_NY
2011-02-13,41.0,Ozone,41.0,41.0,29.0,Hamilton_NY
2011-02-14,43.0,Ozone,43.0,43.0,29.0,Hamilton_NY
2011-02-15,38.0,Ozone,38.0,44.0,29.0,Hamilton_NY
2011-02-16,38.0,Ozone,38.0,42.0,25.0,Hamilton_NY
2011-02-17,43.0,Ozone,43.0,43.0,31.0,Hamilton_NY
2011-02-18,45.0,Ozone,45.0,67.0,31.0,Hamilton_NY
2011-02-19,36.0,Ozone,36.0,44.0,31.0,Hamilton_NY
2011-02-20,39.0,Ozone,39.0,47.0,26.0,Hamilton_NY
2011-02-21,39.0,Ozone,39.0,45.0,29.0,Hamilton_NY
2011-02-22,37.0,Ozone,37.0,49.0,26.0,Hamilton_NY
2011-02-23,40.0,Ozone,40.0,45.0,30.0,Hamilton_NY
2011-02-24,36.0,Ozone,36.0,48.0,22.0,Hamilton_NY
2011-02-25,37.0,Ozone,37.0,49.0,31.0,Hamilton_NY
2011-02-26,42.0,Ozone,42.0,46.0,34.0,Hamilton_NY
2011-02-27,44.0,Ozone,44.0,49.0,31.0,Hamilton_NY
2011-02-28,40.0,Ozone,40.0,51.0,32.0,Hamilton_NY
2011-03-01,40.0,Ozone,40.0,71.0,31.0,Hamilton_NY
2011-03-02,38.0,Ozone,38.0,44.0,30.0,Hamilton_NY
2011-03-03,41.0,Ozone,41.0,49.0,33.0,Hamilton_NY
2011-03-04,36.0,Ozone,36.0,44.0,34.0,Hamilton_NY
2011-03-05,40.0,Ozone,40.0,45.0,32.0,Hamilton_NY
2011-03-06,42.0,Ozone,42.0,46.0,35.0,Hamilton_NY
2011-03-07,41.0,Ozone,41.0,61.0,28.0,Hamilton_NY
2011-03-08,42.0,Ozone,42.0,48.0,31.0,Hamilton_NY
2011-03-09,41.0,Ozone,41.0,54.0,31.0,Hamilton_NY
2011-03-10,38.0,Ozone,38.0,61.0,25.0,Hamilton_NY
2011-03-11,38.0,Ozone,38.0,64.0,29.0,Hamilton_NY
2011-03-12,39.0,Ozone,39.0,51.0,31.0,Hamilton_NY
2011-03-13,37.0,Ozone,37.0,47.0,31.0,Hamilton_NY
2011-03-14,37.0,Ozone,37.0,47.0,28.0,Hamilton_NY
2011-03-15,43.0,Ozone,43.0,48.0,27.0,Hamilton_NY
2011-03-16,31.0,Ozone,31.0,67.0,25.0,Hamilton_NY
2011-03-17,50.0,Ozone,50.0,74.0,36.0,Hamilton_NY
2011-03-18,48.0,Ozone,48.0,58.0,36.0,Hamilton_NY
2011-03-19,41.0,Ozone,41.0,58.0,34.0,Hamilton_NY
2011-03-20,43.0,Ozone,43.0,61.0,0.0,Hamilton_NY
2011-03-21,36.0,Ozone,36.0,46.0,36.0,Hamilton_NY
2011-03-22,42.0,Ozone,42.0,64.0,31.0,Hamilton_NY
2011-03-23,42.0,Ozone,42.0,58.0,32.0,Hamilton_NY
2011-03-24,42.0,Ozone,42.0,49.0,33.0,Hamilton_NY
2011-03-25,42.0,Ozone,42.0,87.0,33.0,Hamilton_NY
2011-03-26,39.0,Ozone,39.0,77.0,28.0,Hamilton_NY
2011-03-27,44.0,Ozone,44.0,47.0,31.0,Hamilton_NY
2011-03-28,46.0,Ozone,46.0,51.0,32.0,Hamilton_NY
2011-03-29,44.0,Ozone,44.0,64.0,25.0,Hamilton_NY
2011-03-30,47.0,Ozone,47.0,87.0,31.0,Hamilton_NY
2011-03-31,46.0,Ozone,46.0,133.0,33.0,Hamilton_NY
