Date,Overall AQI Value,Main Pollutant,CO,Ozone,PM10,PM25,NO2,AQI_max (2000-2021),AQI_min (2000-2021),area
2011-01-01,119,PM2.5,22,31,0,119,53,119.0,36.0,New York City_NY
2011-01-02,76,PM2.5,20,29,0,76,48,134.0,37.0,New York City_NY
2011-01-03,57,PM2.5,7,35,25,57,42,102.0,31.0,New York City_NY
2011-01-04,86,PM2.5,9,25,0,86,49,108.0,37.0,New York City_NY
2011-01-05,72,PM2.5,9,32,0,72,48,113.0,33.0,New York City_NY
2011-01-06,69,PM2.5,13,28,0,69,55,113.0,30.0,New York City_NY
2011-01-07,79,PM2.5,11,22,0,79,48,121.0,36.0,New York City_NY
2011-01-08,76,PM2.5,13,31,0,76,53,118.0,39.0,New York City_NY
2011-01-09,61,PM2.5,11,34,20,61,24,108.0,37.0,New York City_NY
2011-01-10,59,PM2.5,9,36,0,59,43,141.0,38.0,New York City_NY
2011-01-11,61,PM2.5,16,31,0,61,48,141.0,34.0,New York City_NY
2011-01-12,65,PM2.5,11,34,0,65,29,85.0,40.0,New York City_NY
2011-01-13,57,PM2.5,6,35,0,57,33,121.0,33.0,New York City_NY
2011-01-14,70,PM2.5,9,33,0,70,50,143.0,32.0,New York City_NY
2011-01-15,84,PM2.5,14,30,35,84,49,105.0,31.0,New York City_NY
2011-01-16,86,PM2.5,10,36,0,86,39,116.0,33.0,New York City_NY
2011-01-17,104,PM2.5,13,38,0,104,54,104.0,36.0,New York City_NY
2011-01-18,60,PM2.5,11,31,0,60,50,96.0,31.0,New York City_NY
2011-01-19,67,PM2.5,10,25,0,67,42,110.0,40.0,New York City_NY
2011-01-20,60,PM2.5,9,34,0,60,45,78.0,34.0,New York City_NY
2011-01-21,71,PM2.5,9,33,21,71,41,156.0,34.0,New York City_NY
2011-01-22,60,PM2.5,9,32,0,60,43,117.0,34.0,New York City_NY
2011-01-23,71,PM2.5,10,33,0,71,41,150.0,26.0,New York City_NY
2011-01-24,64,PM2.5,13,31,0,64,49,121.0,36.0,New York City_NY
2011-01-25,93,PM2.5,18,20,0,93,67,119.0,31.0,New York City_NY
2011-01-26,102,PM2.5,19,26,0,102,80,102.0,32.0,New York City_NY
2011-01-27,74,PM2.5,11,35,18,74,53,82.0,35.0,New York City_NY
2011-01-28,97,PM2.5,16,27,0,97,62,97.0,36.0,New York City_NY
2011-01-29,81,PM2.5,14,33,0,81,43,143.0,35.0,New York City_NY
2011-01-30,80,PM2.5,11,35,0,80,45,122.0,40.0,New York City_NY
2011-01-31,81,PM2.5,16,38,0,81,58,112.0,38.0,New York City_NY
2011-02-01,76,PM2.5,14,32,0,76,64,132.0,36.0,New York City_NY
2011-02-02,68,PM2.5,16,33,15,68,48,122.0,35.0,New York City_NY
2011-02-03,59,PM2.5,10,40,0,59,54,117.0,39.0,New York City_NY
2011-02-04,82,PM2.5,11,36,0,82,54,93.0,19.0,New York City_NY
2011-02-05,89,PM2.5,15,30,0,89,53,99.0,33.0,New York City_NY
2011-02-06,71,PM2.5,10,43,0,71,53,115.0,42.0,New York City_NY
2011-02-07,87,PM2.5,15,36,0,87,62,113.0,37.0,New York City_NY
2011-02-08,66,PM2.5,34,37,19,66,49,123.0,36.0,New York City_NY
2011-02-09,64,PM2.5,9,35,0,64,42,114.0,36.0,New York City_NY
2011-02-10,62,PM2.5,10,38,0,62,42,132.0,35.0,New York City_NY
2011-02-11,73,PM2.5,16,33,0,73,56,121.0,36.0,New York City_NY
