Date,Overall AQI Value,Main Pollutant,CO,Ozone,PM10,PM25,NO2,AQI_max (2000-2021),AQI_min (2000-2021),area
2011-01-01,116.0,PM2.5,10.0,0.0,0.0,116.0,36.0,116.0,21.0,Rutland_VT
2011-01-02,70.0,PM2.5,9.0,0.0,0.0,70.0,29.0,96.0,13.0,Rutland_VT
2011-01-03,20.0,PM2.5,3.0,0.0,8.0,20.0,7.0,84.0,20.0,Rutland_VT
2011-01-04,64.0,PM2.5,8.0,0.0,0.0,64.0,39.0,114.0,17.0,Rutland_VT
2011-01-05,50.0,PM2.5,7.0,0.0,0.0,50.0,32.0,112.0,15.0,Rutland_VT
2011-01-06,66.0,PM2.5,9.0,0.0,0.0,66.0,35.0,86.0,16.0,Rutland_VT
2011-01-07,42.0,PM2.5,9.0,0.0,0.0,42.0,26.0,107.0,28.0,Rutland_VT
2011-01-08,43.0,PM2.5,6.0,0.0,0.0,43.0,25.0,128.0,18.0,Rutland_VT
2011-01-09,21.0,PM2.5,5.0,0.0,6.0,21.0,4.0,116.0,20.0,Rutland_VT
2011-01-10,38.0,PM2.5,8.0,0.0,0.0,38.0,25.0,95.0,9.0,Rutland_VT
2011-01-11,56.0,PM2.5,8.0,0.0,0.0,56.0,32.0,87.0,18.0,Rutland_VT
2011-01-12,41.0,PM2.5,7.0,0.0,0.0,41.0,9.0,91.0,19.0,Rutland_VT
2011-01-13,14.0,PM2.5,5.0,0.0,0.0,14.0,0.0,83.0,14.0,Rutland_VT
2011-01-14,33.0,PM2.5,5.0,0.0,0.0,33.0,0.0,121.0,17.0,Rutland_VT
2011-01-15,81.0,PM2.5,7.0,0.0,22.0,81.0,0.0,100.0,34.0,Rutland_VT
2011-01-16,41.0,PM2.5,3.0,0.0,0.0,41.0,0.0,98.0,31.0,Rutland_VT
2011-01-17,65.0,PM2.5,6.0,0.0,0.0,65.0,0.0,79.0,19.0,Rutland_VT
2011-01-18,39.0,PM2.5,6.0,0.0,0.0,39.0,0.0,90.0,15.0,Rutland_VT
2011-01-19,53.0,PM2.5,3.0,0.0,0.0,53.0,29.0,91.0,22.0,Rutland_VT
