Date,Overall AQI Value,Main Pollutant,CO,Ozone,PM10,PM25,NO2,AQI_max (2000-2021),AQI_min (2000-2021),area
2011-01-01,81,PM2.5,10,0,0,81,37,103.0,21.0,Worcester_MA
2011-01-02,62,PM2.5,8,0,0,62,18,75.0,8.0,Worcester_MA
2011-01-03,30,PM2.5,8,0,25,30,0,70.0,17.0,Worcester_MA
2011-01-04,59,PM2.5,13,0,0,59,44,77.0,17.0,Worcester_MA
2011-01-05,46,PM2.5,13,0,0,46,32,68.0,18.0,Worcester_MA
2011-01-06,52,PM2.5,13,0,0,52,44,75.0,17.0,Worcester_MA
2011-01-07,54,PM2.5,14,0,0,54,38,93.0,13.0,Worcester_MA
2011-01-08,42,PM2.5,8,0,0,42,20,85.0,7.0,Worcester_MA
2011-01-09,29,PM2.5,7,0,8,29,12,84.0,8.0,Worcester_MA
2011-01-10,26,PM2.5,9,0,0,26,18,79.0,11.0,Worcester_MA
2011-01-11,43,PM2.5,9,0,0,43,37,69.0,8.0,Worcester_MA
2011-01-12,31,PM2.5,9,0,0,31,23,58.0,19.0,Worcester_MA
2011-01-13,21,PM2.5,9,0,0,21,21,80.0,21.0,Worcester_MA
2011-01-14,29,NO2,10,0,0,23,29,87.0,12.0,Worcester_MA
2011-01-15,60,PM2.5,13,0,19,60,54,74.0,6.0,Worcester_MA
2011-01-16,53,PM2.5,9,0,0,53,18,77.0,8.0,Worcester_MA
2011-01-17,47,NO2,9,0,0,43,47,66.0,10.0,Worcester_MA
2011-01-18,56,PM2.5,9,0,0,56,37,72.0,16.0,Worcester_MA
2011-01-19,30,PM2.5,8,0,0,30,27,97.0,18.0,Worcester_MA
2011-01-20,52,PM2.5,7,0,0,52,32,70.0,9.0,Worcester_MA
2011-01-21,54,PM2.5,0,0,13,54,33,84.0,18.0,Worcester_MA
2011-01-22,53,PM2.5,0,0,0,53,52,85.0,22.0,Worcester_MA
2011-01-23,71,PM2.5,0,0,0,71,51,88.0,13.0,Worcester_MA
2011-01-24,63,PM2.5,0,0,0,63,52,74.0,23.0,Worcester_MA
2011-01-25,86,PM2.5,0,0,0,86,55,86.0,28.0,Worcester_MA
2011-01-26,113,PM2.5,0,0,0,113,79,113.0,21.0,Worcester_MA
2011-01-27,52,PM2.5,0,0,12,52,27,67.0,22.0,Worcester_MA
2011-01-28,75,PM2.5,15,0,0,75,66,135.0,27.0,Worcester_MA
2011-01-29,89,PM2.5,16,0,0,89,57,91.0,18.0,Worcester_MA
2011-01-30,74,PM2.5,13,0,0,74,61,90.0,24.0,Worcester_MA
2011-01-31,57,NO2,10,0,0,51,57,76.0,11.0,Worcester_MA
2011-02-01,50,PM2.5,8,0,0,50,42,100.0,24.0,Worcester_MA
2011-02-02,37,PM2.5,6,0,8,37,37,93.0,15.0,Worcester_MA
2011-02-03,49,NO2,9,0,0,46,49,78.0,27.0,Worcester_MA
2011-02-04,57,PM2.5,9,0,0,57,53,72.0,28.0,Worcester_MA
2011-02-05,80,PM2.5,8,0,0,80,44,80.0,13.0,Worcester_MA
2011-02-06,46,PM2.5,6,0,0,46,20,65.0,16.0,Worcester_MA
2011-02-07,72,PM2.5,10,0,0,72,49,95.0,17.0,Worcester_MA
2011-02-08,51,PM2.5,8,0,22,51,42,66.0,11.0,Worcester_MA
2011-02-09,46,PM2.5,6,0,0,46,38,85.0,9.0,Worcester_MA
2011-02-10,51,PM2.5,7,0,0,51,40,77.0,24.0,Worcester_MA
2011-02-11,80,PM2.5,14,0,0,80,71,80.0,8.0,Worcester_MA
2011-02-12,80,PM2.5,17,0,0,80,61,80.0,17.0,Worcester_MA
2011-02-13,50,PM2.5,5,0,0,50,34,79.0,8.0,Worcester_MA
2011-02-14,47,PM2.5,6,0,19,47,0,104.0,5.0,Worcester_MA
2011-02-15,27,PM2.5,6,0,0,27,17,83.0,15.0,Worcester_MA
2011-02-16,46,NO2,7,0,0,42,46,92.0,9.0,Worcester_MA
2011-02-17,84,PM2.5,19,0,0,84,78,87.0,28.0,Worcester_MA
2011-02-18,74,PM2.5,18,0,0,74,57,74.0,11.0,Worcester_MA
2011-02-19,23,PM2.5,8,0,0,23,7,75.0,11.0,Worcester_MA
2011-02-20,25,PM2.5,5,0,13,25,12,76.0,10.0,Worcester_MA
2011-02-21,27,PM2.5,5,0,0,27,24,75.0,8.0,Worcester_MA
2011-02-22,35,PM2.5,7,0,0,35,16,78.0,21.0,Worcester_MA
2011-02-23,58,NO2,10,0,0,43,58,82.0,13.0,Worcester_MA
2011-02-24,71,PM2.5,13,0,0,71,69,98.0,0.0,Worcester_MA
2011-02-25,40,PM2.5,6,0,0,40,37,72.0,11.0,Worcester_MA
2011-02-26,35,PM2.5,5,0,0,35,28,98.0,10.0,Worcester_MA
2011-02-27,51,PM2.5,5,0,0,51,25,84.0,7.0,Worcester_MA
2011-02-28,53,PM2.5,9,0,0,53,47,71.0,10.0,Worcester_MA
2011-03-01,41,Ozone,6,41,0,35,39,91.0,15.0,Worcester_MA
2011-03-02,43,PM2.5,6,39,0,43,0,73.0,22.0,Worcester_MA
2011-03-03,38,Ozone,7,38,0,23,25,69.0,10.0,Worcester_MA
2011-03-04,60,NO2,9,39,32,56,60,76.0,20.0,Worcester_MA
2011-03-05,44,Ozone,5,44,0,27,42,96.0,13.0,Worcester_MA
2011-03-06,44,Ozone,3,44,0,23,41,79.0,13.0,Worcester_MA
2011-03-07,40,Ozone,3,40,0,18,19,83.0,30.0,Worcester_MA
2011-03-08,40,NO2,5,38,0,25,40,88.0,6.0,Worcester_MA
2011-03-09,38,Ozone,5,38,0,33,38,68.0,12.0,Worcester_MA
2011-03-10,47,PM2.5,3,33,28,47,27,65.0,28.0,Worcester_MA
2011-03-11,44,Ozone,7,44,0,23,42,77.0,35.0,Worcester_MA
2011-03-12,38,PM2.5,6,38,0,38,38,79.0,10.0,Worcester_MA
2011-03-13,52,PM2.5,7,37,0,52,37,80.0,18.0,Worcester_MA
2011-03-14,40,NO2,6,31,0,34,40,83.0,26.0,Worcester_MA
2011-03-15,59,PM2.5,9,35,0,59,37,77.0,23.0,Worcester_MA
2011-03-16,41,PM2.5,7,28,12,41,38,95.0,25.0,Worcester_MA
2011-03-17,52,NO2,6,49,0,37,52,75.0,0.0,Worcester_MA
2011-03-18,47,Ozone,6,47,0,38,25,66.0,9.0,Worcester_MA
2011-03-19,41,Ozone,3,41,0,30,31,80.0,14.0,Worcester_MA
2011-03-20,44,Ozone,3,44,0,23,31,77.0,0.0,Worcester_MA
2011-03-21,38,Ozone,5,38,0,30,32,66.0,4.0,Worcester_MA
2011-03-22,41,Ozone,5,41,15,34,22,73.0,16.0,Worcester_MA
2011-03-23,39,Ozone,5,39,0,23,28,63.0,0.0,Worcester_MA
2011-03-24,41,Ozone,5,41,0,26,22,74.0,9.0,Worcester_MA
2011-03-25,40,Ozone,3,40,0,21,14,66.0,24.0,Worcester_MA
2011-03-26,39,Ozone,3,39,0,17,10,62.0,31.0,Worcester_MA
2011-03-27,44,Ozone,3,44,0,15,8,52.0,27.0,Worcester_MA
2011-03-28,44,Ozone,5,44,8,13,10,54.0,18.0,Worcester_MA
2011-03-29,44,Ozone,3,44,0,15,23,64.0,0.0,Worcester_MA
2011-03-30,48,Ozone,5,48,0,22,37,61.0,0.0,Worcester_MA
2011-03-31,43,Ozone,3,43,0,25,38,105.0,9.0,Worcester_MA
2011-04-01,44,Ozone,5,44,0,9,19,67.0,35.0,Worcester_MA
2011-04-02,48,Ozone,3,48,0,24,13,77.0,14.0,Worcester_MA
2011-04-03,48,Ozone,3,48,10,24,45,94.0,20.0,Worcester_MA
2011-04-04,56,PM2.5,6,41,0,56,48,64.0,35.0,Worcester_MA
2011-04-05,45,PM2.5,6,42,0,45,33,74.0,31.0,Worcester_MA
2011-04-06,45,Ozone,3,45,0,19,16,68.0,31.0,Worcester_MA
2011-04-07,49,Ozone,7,49,0,40,41,87.0,31.0,Worcester_MA
2011-04-08,50,NO2,8,48,0,36,50,74.0,30.0,Worcester_MA
2011-04-09,58,Ozone,5,58,18,47,38,64.0,31.0,Worcester_MA
2011-04-10,64,Ozone,5,64,0,38,25,87.0,34.0,Worcester_MA
2011-04-11,52,PM2.5,3,41,0,52,16,97.0,33.0,Worcester_MA
2011-04-12,45,Ozone,5,45,0,29,31,108.0,35.0,Worcester_MA
2011-04-13,44,Ozone,5,44,0,24,27,71.0,37.0,Worcester_MA
2011-04-14,46,Ozone,5,46,0,23,19,71.0,39.0,Worcester_MA
2011-04-15,41,Ozone,5,41,10,22,22,122.0,40.0,Worcester_MA
2011-04-16,42,Ozone,3,42,0,25,22,129.0,36.0,Worcester_MA
2011-04-17,45,Ozone,3,45,0,13,16,105.0,33.0,Worcester_MA
2011-04-18,45,Ozone,3,45,0,23,21,101.0,31.0,Worcester_MA
2011-04-19,38,PM2.5,6,36,0,38,27,133.0,32.0,Worcester_MA
2011-04-20,54,PM2.5,6,33,0,54,28,161.0,37.0,Worcester_MA
2011-04-21,44,Ozone,6,44,9,26,27,97.0,37.0,Worcester_MA
2011-04-22,44,Ozone,5,44,0,24,25,97.0,26.0,Worcester_MA
2011-04-23,37,Ozone,5,37,0,20,20,151.0,28.0,Worcester_MA
2011-04-24,49,PM2.5,5,45,0,49,18,74.0,28.0,Worcester_MA
2011-04-25,50,PM2.5,6,34,0,50,30,108.0,31.0,Worcester_MA
2011-04-26,58,PM2.5,6,38,0,58,30,97.0,30.0,Worcester_MA
2011-04-27,34,PM2.5,5,28,17,34,24,112.0,31.0,Worcester_MA
2011-04-28,33,Ozone,3,33,0,13,13,151.0,33.0,Worcester_MA
2011-04-29,58,Ozone,5,58,0,30,38,112.0,31.0,Worcester_MA
2011-04-30,35,Ozone,5,35,0,19,17,108.0,32.0,Worcester_MA
2011-05-01,42,Ozone,5,42,0,20,15,97.0,29.0,Worcester_MA
2011-05-02,45,Ozone,5,45,0,27,32,129.0,31.0,Worcester_MA
2011-05-03,46,Ozone,6,46,0,40,31,87.0,25.0,Worcester_MA
2011-05-04,32,Ozone,6,32,0,28,22,95.0,17.0,Worcester_MA
2011-05-05,33,Ozone,6,33,0,9,20,100.0,29.0,Worcester_MA
2011-05-06,54,Ozone,6,54,0,32,32,126.0,15.0,Worcester_MA
2011-05-07,58,Ozone,6,58,0,54,29,105.0,3.0,Worcester_MA
2011-05-08,48,Ozone,6,48,0,45,25,84.0,31.0,Worcester_MA
2011-05-09,37,Ozone,5,37,0,20,21,119.0,31.0,Worcester_MA
2011-05-10,38,Ozone,5,38,0,0,21,92.0,31.0,Worcester_MA
2011-05-11,35,Ozone,5,35,0,0,18,90.0,24.0,Worcester_MA
2011-05-12,40,Ozone,6,40,0,16,29,97.0,29.0,Worcester_MA
2011-05-13,42,Ozone,7,42,0,34,35,100.0,22.0,Worcester_MA
2011-05-14,37,Ozone,6,37,0,31,21,67.0,24.0,Worcester_MA
2011-05-15,27,Ozone,6,27,0,18,16,126.0,14.0,Worcester_MA
2011-05-16,23,Ozone,6,23,0,10,18,67.0,22.0,Worcester_MA
2011-05-17,20,Ozone,6,20,0,6,16,143.0,20.0,Worcester_MA
2011-05-18,19,Ozone,6,19,0,14,19,122.0,15.0,Worcester_MA
2011-05-19,23,PM2.5,7,19,0,23,20,64.0,23.0,Worcester_MA
2011-05-20,31,Ozone,6,31,0,29,26,108.0,20.0,Worcester_MA
2011-05-21,45,Ozone,6,45,11,40,17,133.0,10.0,Worcester_MA
2011-05-22,23,Ozone,5,23,0,20,13,140.0,22.0,Worcester_MA
2011-05-23,33,Ozone,7,33,0,16,20,97.0,28.0,Worcester_MA
2011-05-24,47,PM2.5,6,41,0,47,22,119.0,25.0,Worcester_MA
2011-05-25,47,Ozone,6,47,0,32,21,159.0,16.0,Worcester_MA
2011-05-26,56,PM2.5,6,51,0,56,22,126.0,26.0,Worcester_MA
2011-05-27,67,PM2.5,7,58,29,67,0,101.0,29.0,Worcester_MA
2011-05-28,48,PM2.5,6,34,0,48,11,77.0,19.0,Worcester_MA
2011-05-29,42,Ozone,5,42,0,40,12,69.0,20.0,Worcester_MA
2011-05-30,55,PM2.5,6,40,0,55,25,101.0,18.0,Worcester_MA
2011-05-31,87,Ozone,6,87,0,40,25,112.0,19.0,Worcester_MA
2011-06-01,63,PM2.5,6,51,0,63,20,108.0,25.0,Worcester_MA
2011-06-02,39,Ozone,6,39,19,33,25,151.0,25.0,Worcester_MA
2011-06-03,41,Ozone,5,41,0,25,22,126.0,15.0,Worcester_MA
2011-06-04,41,Ozone,6,41,0,30,26,87.0,16.0,Worcester_MA
2011-06-05,32,Ozone,5,32,0,30,22,105.0,26.0,Worcester_MA
2011-06-06,43,PM2.5,6,43,0,43,20,87.0,19.0,Worcester_MA
2011-06-07,61,Ozone,6,61,0,57,35,90.0,24.0,Worcester_MA
2011-06-08,93,Ozone,6,93,27,64,31,147.0,22.0,Worcester_MA
2011-06-09,58,Ozone,7,58,0,56,30,150.0,31.0,Worcester_MA
2011-06-10,48,PM2.5,6,34,0,48,16,174.0,22.0,Worcester_MA
2011-06-11,31,PM2.5,6,25,0,31,15,100.0,23.0,Worcester_MA
2011-06-12,30,Ozone,5,30,0,15,11,101.0,25.0,Worcester_MA
2011-06-13,31,Ozone,6,31,0,30,20,84.0,20.0,Worcester_MA
2011-06-14,27,Ozone,5,27,7,21,20,197.0,27.0,Worcester_MA
2011-06-15,41,Ozone,6,41,0,39,24,95.0,23.0,Worcester_MA
2011-06-16,57,PM2.5,6,48,0,57,20,112.0,26.0,Worcester_MA
2011-06-17,50,Ozone,6,50,0,42,26,87.0,25.0,Worcester_MA
2011-06-18,52,PM2.5,6,46,0,52,14,115.0,29.0,Worcester_MA
2011-06-19,33,PM2.5,6,30,0,33,23,192.0,20.0,Worcester_MA
2011-06-20,40,Ozone,6,40,11,36,26,150.0,27.0,Worcester_MA
2011-06-21,74,Ozone,6,74,0,54,30,90.0,28.0,Worcester_MA
2011-06-22,69,PM2.5,8,40,0,69,35,164.0,30.0,Worcester_MA
2011-06-23,39,Ozone,6,39,0,24,24,93.0,28.0,Worcester_MA
2011-06-24,25,Ozone,6,25,0,15,19,154.0,24.0,Worcester_MA
2011-06-25,30,Ozone,6,30,0,27,19,166.0,27.0,Worcester_MA
2011-06-26,42,PM2.5,6,31,11,42,16,133.0,22.0,Worcester_MA
2011-06-27,38,Ozone,6,38,0,26,16,177.0,22.0,Worcester_MA
2011-06-28,56,PM2.5,6,54,0,56,34,100.0,28.0,Worcester_MA
2011-06-29,48,Ozone,6,48,0,46,18,147.0,23.0,Worcester_MA
2011-06-30,36,Ozone,5,36,0,32,9,115.0,31.0,Worcester_MA
2011-07-01,46,PM2.5,9,34,0,46,29,108.0,23.0,Worcester_MA
2011-07-02,40,Ozone,10,40,15,36,21,115.0,25.0,Worcester_MA
2011-07-03,59,PM2.5,6,48,0,59,13,159.0,23.0,Worcester_MA
2011-07-04,52,PM2.5,6,37,0,52,17,122.0,29.0,Worcester_MA
2011-07-05,52,PM2.5,6,40,0,52,27,120.0,25.0,Worcester_MA
2011-07-06,119,Ozone,6,119,0,54,33,119.0,21.0,Worcester_MA
2011-07-07,42,Ozone,6,42,0,40,23,162.0,19.0,Worcester_MA
2011-07-08,58,PM2.5,7,45,19,58,30,147.0,29.0,Worcester_MA
2011-07-09,38,PM2.5,7,36,0,38,16,129.0,19.0,Worcester_MA
2011-07-10,42,Ozone,5,42,0,31,18,156.0,22.0,Worcester_MA
2011-07-11,126,Ozone,6,126,0,66,22,126.0,25.0,Worcester_MA
2011-07-12,62,PM2.5,6,51,0,62,14,133.0,23.0,Worcester_MA
2011-07-13,37,PM2.5,6,33,0,37,11,105.0,20.0,Worcester_MA
2011-07-14,31,Ozone,5,31,10,27,14,100.0,22.0,Worcester_MA
2011-07-15,43,Ozone,6,43,0,34,25,115.0,24.0,Worcester_MA
2011-07-16,74,Ozone,5,74,0,42,30,100.0,27.0,Worcester_MA
2011-07-17,90,Ozone,5,90,0,53,11,166.0,26.0,Worcester_MA
2011-07-18,60,PM2.5,6,50,0,60,27,112.0,24.0,Worcester_MA
2011-07-19,56,PM2.5,6,37,0,56,29,112.0,17.0,Worcester_MA
2011-07-20,74,Ozone,7,74,34,71,27,103.0,31.0,Worcester_MA
2011-07-21,159,Ozone,7,159,0,97,17,159.0,31.0,Worcester_MA
2011-07-22,87,Ozone,6,87,0,70,25,159.0,28.0,Worcester_MA
2011-07-23,67,Ozone,5,67,0,51,25,169.0,26.0,Worcester_MA
2011-07-24,56,PM2.5,6,44,0,56,16,78.0,25.0,Worcester_MA
2011-07-25,34,PM2.5,6,19,0,34,21,119.0,19.0,Worcester_MA
2011-07-26,43,PM2.5,5,38,16,43,20,150.0,23.0,Worcester_MA
2011-07-27,27,Ozone,6,27,0,24,18,143.0,27.0,Worcester_MA
2011-07-28,44,Ozone,6,44,0,34,20,122.0,31.0,Worcester_MA
2011-07-29,53,PM2.5,5,41,0,53,23,77.0,23.0,Worcester_MA
2011-07-30,39,Ozone,5,39,0,32,22,105.0,27.0,Worcester_MA
2011-07-31,38,Ozone,6,38,0,33,20,87.0,18.0,Worcester_MA
2011-08-01,48,PM2.5,6,48,18,48,22,105.0,31.0,Worcester_MA
2011-08-02,53,PM2.5,6,34,0,53,27,136.0,32.0,Worcester_MA
2011-08-03,43,Ozone,5,43,0,35,20,174.0,30.0,Worcester_MA
2011-08-04,50,Ozone,6,50,0,40,25,119.0,21.0,Worcester_MA
2011-08-05,43,Ozone,6,43,0,26,24,105.0,27.0,Worcester_MA
2011-08-06,47,Ozone,5,47,0,43,12,100.0,23.0,Worcester_MA
2011-08-07,31,Ozone,6,31,5,22,16,143.0,26.0,Worcester_MA
2011-08-08,42,PM2.5,6,35,0,42,0,82.0,26.0,Worcester_MA
2011-08-09,38,Ozone,6,38,0,32,22,164.0,24.0,Worcester_MA
2011-08-10,40,Ozone,6,40,0,26,0,119.0,25.0,Worcester_MA
2011-08-11,35,Ozone,6,35,0,17,15,164.0,21.0,Worcester_MA
2011-08-12,30,Ozone,6,30,0,23,20,192.0,27.0,Worcester_MA
2011-08-13,42,Ozone,6,42,15,35,25,214.0,25.0,Worcester_MA
2011-08-14,41,Ozone,5,41,0,32,17,126.0,22.0,Worcester_MA
2011-08-15,31,Ozone,6,31,0,14,26,108.0,26.0,Worcester_MA
2011-08-16,30,Ozone,5,30,0,13,23,150.0,30.0,Worcester_MA
2011-08-17,36,PM2.5,6,33,0,36,27,105.0,18.0,Worcester_MA
2011-08-18,71,Ozone,6,71,0,0,26,154.0,26.0,Worcester_MA
2011-08-19,61,Ozone,6,61,20,52,17,100.0,24.0,Worcester_MA
2011-08-20,48,Ozone,5,48,0,46,15,101.0,19.0,Worcester_MA
2011-08-21,52,PM2.5,5,50,0,52,9,90.0,22.0,Worcester_MA
2011-08-22,26,Ozone,5,26,0,22,11,129.0,25.0,Worcester_MA
2011-08-23,28,Ozone,5,28,0,19,23,80.0,21.0,Worcester_MA
2011-08-24,48,Ozone,5,48,0,28,20,129.0,21.0,Worcester_MA
2011-08-25,43,PM2.5,5,41,19,43,27,103.0,24.0,Worcester_MA
2011-08-26,39,Ozone,7,39,0,28,28,61.0,31.0,Worcester_MA
2011-08-27,39,Ozone,6,39,0,33,27,75.0,25.0,Worcester_MA
2011-08-28,27,Ozone,5,27,0,13,8,100.0,25.0,Worcester_MA
2011-08-29,21,Ozone,5,21,0,9,21,122.0,19.0,Worcester_MA
2011-08-30,30,NO2,6,28,0,27,30,159.0,19.0,Worcester_MA
2011-08-31,50,PM2.5,6,45,19,50,28,77.0,25.0,Worcester_MA
2011-09-01,48,PM2.5,6,44,0,48,23,93.0,27.0,Worcester_MA
2011-09-02,40,Ozone,5,40,0,37,21,143.0,18.0,Worcester_MA
2011-09-03,64,Ozone,6,64,0,60,14,84.0,17.0,Worcester_MA
2011-09-04,72,PM2.5,6,49,0,72,12,74.0,25.0,Worcester_MA
2011-09-05,39,Ozone,5,39,0,33,10,65.0,22.0,Worcester_MA
2011-09-06,45,Ozone,5,45,11,26,25,48.0,21.0,Worcester_MA
2011-09-07,33,Ozone,5,33,0,4,26,159.0,21.0,Worcester_MA
2011-09-08,16,NO2,5,15,0,10,16,154.0,15.0,Worcester_MA
2011-09-09,34,PM2.5,6,28,0,34,27,147.0,18.0,Worcester_MA
2011-09-10,32,Ozone,7,32,0,27,25,179.0,19.0,Worcester_MA
2011-09-11,27,Ozone,5,27,0,22,18,100.0,21.0,Worcester_MA
2011-09-12,52,PM2.5,6,40,18,52,29,72.0,15.0,Worcester_MA
2011-09-13,77,Ozone,6,77,0,64,25,112.0,20.0,Worcester_MA
2011-09-14,69,PM2.5,6,64,0,69,27,154.0,15.0,Worcester_MA
2011-09-15,57,PM2.5,6,36,0,57,21,57.0,20.0,Worcester_MA
2011-09-16,22,Ozone,3,22,0,13,14,45.0,22.0,Worcester_MA
2011-09-17,30,Ozone,7,30,0,20,21,87.0,20.0,Worcester_MA
2011-09-18,27,PM2.5,7,27,9,27,20,93.0,18.0,Worcester_MA
2011-09-19,28,Ozone,7,28,0,25,0,79.0,17.0,Worcester_MA
2011-09-20,25,NO2,8,22,0,22,25,87.0,19.0,Worcester_MA
2011-09-21,39,Ozone,8,39,0,34,0,108.0,28.0,Worcester_MA
2011-09-22,25,PM2.5,8,23,0,25,23,112.0,24.0,Worcester_MA
2011-09-23,31,PM2.5,9,22,0,31,22,62.0,23.0,Worcester_MA
2011-09-24,21,Ozone,8,21,0,19,19,88.0,21.0,Worcester_MA
2011-09-25,22,PM2.5,9,22,0,22,16,129.0,21.0,Worcester_MA
2011-09-26,38,Ozone,10,38,0,37,32,150.0,13.0,Worcester_MA
2011-09-27,55,PM2.5,10,45,0,55,25,70.0,17.0,Worcester_MA
2011-09-28,43,PM2.5,8,34,0,43,22,62.0,19.0,Worcester_MA
2011-09-29,37,Ozone,8,37,0,15,21,47.0,19.0,Worcester_MA
2011-09-30,48,PM2.5,8,46,19,48,24,48.0,16.0,Worcester_MA
2011-10-01,29,Ozone,9,29,0,28,16,68.0,11.0,Worcester_MA
2011-10-02,24,Ozone,7,24,0,9,12,81.0,17.0,Worcester_MA
2011-10-03,27,NO2,8,24,0,17,27,78.0,8.0,Worcester_MA
2011-10-04,25,Ozone,8,25,0,9,19,93.0,12.0,Worcester_MA
2011-10-05,27,Ozone,7,27,0,18,11,108.0,8.0,Worcester_MA
2011-10-06,31,Ozone,9,31,11,18,31,79.0,11.0,Worcester_MA
2011-10-07,31,Ozone,10,31,0,23,30,60.0,13.0,Worcester_MA
2011-10-08,44,Ozone,10,44,0,38,37,77.0,0.0,Worcester_MA
2011-10-09,50,Ozone,10,50,0,45,39,79.0,0.0,Worcester_MA
2011-10-10,52,PM2.5,9,50,0,52,32,53.0,0.0,Worcester_MA
2011-10-11,35,PM2.5,9,31,0,35,31,48.0,0.0,Worcester_MA
2011-10-12,28,Ozone,8,28,12,22,23,58.0,9.0,Worcester_MA
2011-10-13,25,Ozone,8,25,0,5,19,75.0,12.0,Worcester_MA
2011-10-14,31,Ozone,9,31,0,8,24,71.0,0.0,Worcester_MA
2011-10-15,31,Ozone,7,31,0,28,10,56.0,0.0,Worcester_MA
2011-10-16,31,Ozone,7,31,0,25,19,58.0,3.0,Worcester_MA
2011-10-17,36,Ozone,8,36,0,25,35,61.0,3.0,Worcester_MA
2011-10-18,39,NO2,9,0,21,35,39,84.0,8.0,Worcester_MA
2011-10-19,25,NO2,7,0,0,24,25,53.0,17.0,Worcester_MA
2011-10-20,22,NO2,2,0,0,17,22,55.0,6.0,Worcester_MA
2011-10-21,17,PM2.5,1,0,0,17,17,87.0,10.0,Worcester_MA
2011-10-22,19,NO2,1,0,0,17,19,60.0,12.0,Worcester_MA
2011-10-23,45,PM2.5,3,0,0,45,31,50.0,0.0,Worcester_MA
2011-10-24,56,PM2.5,7,0,22,56,32,58.0,1.0,Worcester_MA
2011-10-25,24,NO2,5,0,0,22,24,62.0,0.0,Worcester_MA
2011-10-26,29,PM2.5,6,0,0,29,25,54.0,6.0,Worcester_MA
2011-10-27,19,PM2.5,5,0,0,19,19,86.0,9.0,Worcester_MA
2011-10-28,21,PM2.5,6,0,0,21,19,47.0,3.0,Worcester_MA
2011-10-29,23,NO2,5,0,0,15,23,61.0,0.0,Worcester_MA
2011-10-30,33,NO2,6,0,6,19,33,62.0,5.0,Worcester_MA
2011-10-31,76,PM2.5,17,0,0,76,45,76.0,9.0,Worcester_MA
2011-11-01,63,PM2.5,22,0,0,63,32,63.0,13.0,Worcester_MA
2011-11-02,68,PM2.5,17,0,0,68,45,68.0,10.0,Worcester_MA
2011-11-03,68,PM2.5,14,0,0,68,43,68.0,3.0,Worcester_MA
2011-11-04,39,NO2,8,0,0,30,39,71.0,10.0,Worcester_MA
2011-11-05,37,NO2,9,0,19,36,37,84.0,16.0,Worcester_MA
2011-11-06,48,PM2.5,10,0,0,48,34,80.0,10.0,Worcester_MA
2011-11-07,46,PM2.5,8,0,0,46,40,64.0,9.0,Worcester_MA
2011-11-08,65,PM2.5,15,0,0,65,44,65.0,10.0,Worcester_MA
2011-11-09,57,PM2.5,14,0,0,57,44,71.0,5.0,Worcester_MA
2011-11-10,52,PM2.5,7,0,0,52,34,67.0,15.0,Worcester_MA
2011-11-11,18,PM2.5,6,0,7,18,11,74.0,12.0,Worcester_MA
2011-11-12,25,NO2,5,0,0,24,25,60.0,17.0,Worcester_MA
2011-11-13,51,PM2.5,6,0,0,51,29,62.0,4.0,Worcester_MA
2011-11-14,48,PM2.5,6,0,0,48,35,69.0,9.0,Worcester_MA
2011-11-15,33,PM2.5,6,0,0,33,31,103.0,12.0,Worcester_MA
2011-11-16,43,PM2.5,8,0,0,43,35,76.0,0.0,Worcester_MA
2011-11-17,18,PM2.5,7,0,10,18,17,91.0,8.0,Worcester_MA
2011-11-18,28,NO2,7,0,0,27,28,63.0,0.0,Worcester_MA
2011-11-19,33,PM2.5,7,0,0,33,20,67.0,0.0,Worcester_MA
2011-11-20,45,PM2.5,6,0,0,45,38,80.0,11.0,Worcester_MA
2011-11-21,38,PM2.5,6,0,0,38,36,96.0,10.0,Worcester_MA
2011-11-22,55,PM2.5,9,0,0,55,40,66.0,0.0,Worcester_MA
2011-11-23,21,NO2,6,0,3,16,21,79.0,12.0,Worcester_MA
2011-11-24,31,NO2,8,0,0,30,31,79.0,6.0,Worcester_MA
2011-11-25,42,PM2.5,8,0,0,42,33,74.0,10.0,Worcester_MA
2011-11-26,56,PM2.5,16,0,0,56,43,71.0,17.0,Worcester_MA
2011-11-27,72,PM2.5,17,0,0,72,32,83.0,8.0,Worcester_MA
2011-11-28,36,NO2,13,0,0,25,36,84.0,18.0,Worcester_MA
2011-11-29,42,NO2,8,0,19,31,42,71.0,13.0,Worcester_MA
2011-11-30,19,NO2,6,0,0,14,19,71.0,14.0,Worcester_MA
