Date,Overall AQI monthly high,Overall AQI monthly low,Overall AQI monthly average,Ozone AQI monthly average,PM25 AQI monthly average,NO2 AQI monthly average,CO AQI monthly average,PM10 AQI monthly average,area
2011-01-01,113,21,54.516129032258064,0.0,54.0,38.0,8.03225806451613,2.4838709677419355,Worcester_MA
2011-02-01,84,23,51.607142857142854,0.0,50.82142857142857,39.32142857142857,8.642857142857142,2.2142857142857144,Worcester_MA
2011-03-01,60,38,43.67741935483871,40.29032258064516,30.516129032258064,30.516129032258064,5.064516129032258,3.064516129032258,Worcester_MA
2011-04-01,64,33,46.7,43.36666666666667,32.13333333333333,26.633333333333333,4.866666666666666,2.1333333333333333,Worcester_MA
2011-05-01,87,19,41.29032258064516,39.58064516129032,29.580645161290324,21.096774193548388,5.903225806451613,1.2903225806451613,Worcester_MA
2011-06-01,93,25,45.6,42.53333333333333,39.86666666666667,22.2,5.933333333333334,2.5,Worcester_MA
2011-07-01,159,27,59.61290322580645,54.67741935483871,48.41935483870968,21.419354838709676,6.096774193548387,3.032258064516129,Worcester_MA
2011-08-01,71,21,40.74193548387097,39.45161290322581,30.93548387096774,19.70967741935484,5.645161290322581,3.096774193548387,Worcester_MA
2011-09-01,77,16,39.86666666666667,36.3,35.03333333333333,20.1,6.766666666666667,1.9,Worcester_MA
2011-10-01,76,17,32.41935483870968,17.677419354838708,26.35483870967742,25.419354838709676,7.193548387096774,2.3225806451612905,Worcester_MA
2011-11-01,72,18,43.233333333333334,0.0,41.733333333333334,33.13333333333333,9.5,1.9333333333333333,Worcester_MA
2011-12-01,63,15,40.064516129032256,0.0,37.32258064516129,29.06451612903226,7.967741935483871,1.6451612903225807,Worcester_MA
2012-01-01,69,15,38.74193548387097,0.0,38.03225806451613,21.774193548387096,8.451612903225806,2.3548387096774195,Worcester_MA
2012-02-01,76,19,42.86206896551724,0.0,42.44827586206897,29.517241379310345,8.862068965517242,3.3793103448275863,Worcester_MA
2012-03-01,66,32,43.61290322580645,39.96774193548387,36.29032258064516,28.032258064516128,7.67741935483871,3.064516129032258,Worcester_MA
2012-04-01,87,26,48.36666666666667,48.06666666666667,30.133333333333333,21.466666666666665,6.933333333333334,2.6333333333333333,Worcester_MA
2012-05-01,100,24,46.0,43.03225806451613,32.225806451612904,22.387096774193548,7.548387096774194,2.4193548387096775,Worcester_MA
2012-06-01,87,23,42.03333333333333,41.86666666666667,17.933333333333334,18.433333333333334,7.0,2.7333333333333334,Worcester_MA
2012-07-01,166,32,55.54838709677419,53.16129032258065,32.935483870967744,17.06451612903226,7.096774193548387,2.7096774193548385,Worcester_MA
