Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,Power Plants,Petroleum and Natural Gas Systems,Non-Fluorinated Chemicals,Waste,Minerals,Pulp and Paper,Miscellaneous Combustion,Electronics Manufacturing,year,state
Electronics Manufacturing,25434.0,12.0,6070.856,771.089,60529.475,13244.52,14282.88,13067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133720.000796,2011,MA
Food Processing,36957.9,17.25,20.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36995.712,0.0,2011,MA
Glass Production,43395.5,17.75,21.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43434.408,0.0,0.0,0.0,2011,MA
Lime Manufacturing,165889.5,70.5,146.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166106.318,0.0,0.0,0.0,2011,MA
Liquefied Natural Gas Imp./Exp. Equipment,112929.0,630.25,62.878,0.0,0.0,0.0,0.0,0.0,0.0,113622.128,0.0,0.0,0.0,0.0,0.0,0.0,2011,MA
Military,37073.1,24.0,42.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37139.11799999999,0.0,2011,MA
Municipal Landfills,2033.385,461922.391575,102.094502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464057.871077,0.0,0.0,0.0,0.0,2011,MA
"Natural Gas Distribution, Natural Gas Local Distribution Companies",7171.6,829396.5,5.364,0.0,0.0,0.0,0.0,0.0,0.0,836573.4639999999,0.0,0.0,0.0,0.0,0.0,0.0,2011,MA
Natural Gas Transmission/Compression,23380.2,1930.25,13.112,0.0,0.0,0.0,0.0,0.0,0.0,25323.562,0.0,0.0,0.0,0.0,0.0,0.0,2011,MA
Other Chemicals,125661.9,59.25,68.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125789.988,0.0,0.0,0.0,0.0,0.0,2011,MA
Other Combustion,31721.9,18.75,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31770.45,0.0,2011,MA
Other Manufacturing,380744.0,498.75,808.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382051.224,0.0,2011,MA
Other Minerals,68857.8,106.5,213.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69178.26400000001,0.0,0.0,0.0,2011,MA
Other Paper Producers,61444.6,43.75,82.54599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61570.896,0.0,0.0,2011,MA
Power Plants,14610757.4,16665.5,26358.696,0.0,0.0,0.0,0.0,0.0,14653781.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,MA
Solid Waste Combustion,1095666.7,23284.0,36647.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155598.144,0.0,0.0,0.0,0.0,2011,MA
Universities,534620.7,271.0,374.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535265.988,0.0,2011,MA
Electronics Manufacturing,25099.2,11.75,4093.03,561.8409999999999,69374.226,10294.2,5603.76,11524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126758.7561668,2012,MA
Food Processing,32040.4,14.75,17.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32072.732,0.0,2012,MA
Glass Production,45254.0,18.25,21.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45293.706,0.0,0.0,0.0,2012,MA
Lime Manufacturing,124970.8,48.0,154.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125173.164,0.0,0.0,0.0,2012,MA
Liquefied Natural Gas Imp./Exp. Equipment,71522.2,480.25,39.634,0.0,0.0,0.0,0.0,0.0,0.0,72042.084,0.0,0.0,0.0,0.0,0.0,0.0,2012,MA
Military,31408.6,18.25,30.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31456.948,0.0,2012,MA
Municipal Landfills,1961.652595,508480.273,117.679604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510559.605199,0.0,0.0,0.0,0.0,2012,MA
"Natural Gas Distribution, Natural Gas Local Distribution Companies",4757.3,805264.25,8.642,0.0,0.0,0.0,0.0,0.0,0.0,810030.192,0.0,0.0,0.0,0.0,0.0,0.0,2012,MA
Natural Gas Transmission/Compression,65487.9,4932.0,36.952,0.0,0.0,0.0,0.0,0.0,0.0,70456.852,0.0,0.0,0.0,0.0,0.0,0.0,2012,MA
Other Chemicals,119202.9,55.25,66.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119324.902,0.0,0.0,0.0,0.0,0.0,2012,MA
Other Combustion,21772.5,11.75,16.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21801.236,0.0,2012,MA
Other Manufacturing,388035.9,516.5,847.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389399.912,0.0,2012,MA
Other Minerals,41771.5,64.25,105.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41941.54,0.0,0.0,0.0,2012,MA
