Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),Power Plants,Petroleum and Natural Gas Systems,Waste,Minerals,Pulp and Paper,Miscellaneous Combustion,year,state
"CO2 Capture, Food Processing",20633.3,13.25,20.562,0.0,0.0,0.0,0.0,0.0,20667.112,2011,NH
Municipal Landfills,10333.3,353089.75,101.618,0.0,0.0,363524.6680000001,0.0,0.0,0.0,2011,NH
"Natural Gas Distribution, Natural Gas Local Distribution Companies",32.8,27221.0,0.0,0.0,27253.8,0.0,0.0,0.0,0.0,2011,NH
Other Minerals,65354.7,30.75,36.654,0.0,0.0,0.0,65422.10400000001,0.0,0.0,2011,NH
Other Paper Producers,19452.3,15.75,32.78,0.0,0.0,0.0,0.0,19500.83,0.0,2011,NH
Power Plants,5019803.6,13397.5,21637.482,5054838.582,0.0,0.0,0.0,0.0,0.0,2011,NH
Solid Waste Combustion,96620.9,1918.25,3007.714,0.0,0.0,101546.864,0.0,0.0,0.0,2011,NH
Universities,55489.2,55.5,132.312,0.0,0.0,0.0,0.0,0.0,55677.012,2011,NH
"CO2 Capture, Food Processing",18187.9,13.0,20.562,0.0,0.0,0.0,0.0,0.0,18221.462,2012,NH
Municipal Landfills,11769.463742,270934.904925,135.05062,0.0,0.0,282839.419287,0.0,0.0,0.0,2012,NH
Other Minerals,65578.1,31.0,36.952,0.0,0.0,0.0,65646.052,0.0,0.0,2012,NH
Other Paper Producers,51954.4,25.0,29.8,0.0,0.0,0.0,0.0,52009.2,0.0,2012,NH
Power Plants,4218624.7,11403.25,18007.544,4248035.494,0.0,0.0,0.0,0.0,0.0,2012,NH
Solid Waste Combustion,95567.5,1941.25,3036.322,0.0,0.0,100545.072,0.0,0.0,0.0,2012,NH
Universities,43722.6,43.75,104.3,0.0,0.0,0.0,0.0,0.0,43870.65,2012,NH
"CO2 Capture, Food Processing",16375.5,10.25,15.496,0.0,0.0,0.0,0.0,0.0,16401.246,2013,NH
Municipal Landfills,12966.7,296616.5,126.948,0.0,0.0,309710.148,0.0,0.0,0.0,2013,NH
Other Minerals,72395.4,34.0,40.528,0.0,0.0,0.0,72469.928,0.0,0.0,2013,NH
Other Paper Producers,51312.4,43.0,56.024,0.0,0.0,0.0,0.0,51411.424,0.0,2013,NH
Power Plants,3321777.8,8543.0,18040.026,3348360.826000001,0.0,0.0,0.0,0.0,0.0,2013,NH
Solid Waste Combustion,90378.2,1802.75,2821.762,0.0,0.0,95002.712,0.0,0.0,0.0,2013,NH
Universities,42766.3,42.75,101.916,0.0,0.0,0.0,0.0,0.0,42910.966,2013,NH
"CO2 Capture, Food Processing",15651.7,9.5,14.9,0.0,0.0,0.0,0.0,0.0,15676.1,2014,NH
Municipal Landfills,1542.7,268541.25,99.83,0.0,0.0,270183.78,0.0,0.0,0.0,2014,NH
Other Minerals,74607.6,35.0,41.72,0.0,0.0,0.0,74684.32,0.0,0.0,2014,NH
Other Paper Producers,19239.2,15.75,26.82,0.0,0.0,0.0,0.0,19281.77,0.0,2014,NH
Power Plants,3250839.3,5992.5,14977.778,3271809.578,0.0,0.0,0.0,0.0,0.0,2014,NH
Solid Waste Combustion,71372.1,1407.75,2202.816,0.0,0.0,74982.66600000001,0.0,0.0,0.0,2014,NH
Universities,69290.5,129.0,291.444,0.0,0.0,0.0,0.0,0.0,69710.944,2014,NH
"CO2 Capture, Food Processing",15836.8,10.5,16.39,0.0,0.0,0.0,0.0,0.0,15863.69,2015,NH
Municipal Landfills,733.5999999999999,277719.0,93.572,0.0,0.0,278546.172,0.0,0.0,0.0,2015,NH
Other Minerals,62864.5,29.5,35.164,0.0,0.0,0.0,62929.164,0.0,0.0,2015,NH
