Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,HFE,Very Short-lived Compounds,Non-Fluorinated Chemicals,Minerals,Electronics Manufacturing,year,state,Waste/Metals/Pulp and Paper/Miscellaneous Combustion,Power Plants/Petroleum and Natural Gas Systems
"Aluminum Production, Industrial Landfills",470785.9,30187.0,52.15000000000001,0.0,481816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,982841.05,0.0
Cement Production,1364485.3,2326.0,4032.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1370844.134,0.0,2011,NY,0.0,0.0
"CO2 Capture, Ethanol Production, Wastewater Treatment",157473.6,371.5,222.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,158067.408,0.0
"CO2 Capture, Food Processing",30231.7,22.75,35.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,30289.614,0.0
Electronics Manufacturing,991803.7,2676.25,15847.938,214.8232,34286.961,1696.32,6797.44,54316.0,0.0,0.5630263,0.0,0.0,1107639.9952263,2011,NY,0.0,0.0
Ferroalloy Production,202928.6,881.0,0.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,203810.494,0.0
Food Processing,328193.9,672.25,1113.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,329979.776,0.0
Glass Production,334255.8,118.25,140.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334514.706,0.0,2011,NY,0.0,0.0
"Industrial Landfills, Other Manufacturing",140331.9,1504.25,693.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,142529.894,0.0
"Industrial Landfills, Pulp and Paper Manufacturing",233769.0,65143.25,7006.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,305919.124,0.0
Iron and Steel Production,165555.6,35.25,69.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,165659.986,0.0
Lead Production,53467.1,7.25,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,53483.29,0.0
Military,37472.8,18.5,23.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,37514.842,0.0
Municipal Landfills,10205.421,2144099.68035,757.9907140000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,2155063.092064,0.0
"Natural Gas Distribution, Natural Gas Local Distribution Companies",154672.4,1268957.0,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,0.0,1423629.698
"Natural Gas Distribution, Natural Gas Local Distribution Companies, Power Plants",5008.0,62809.25,1.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,0.0,67819.038
"Natural Gas Distribution, Natural Gas Local Distribution Companies, Use of Electrical Equipment",272.4,226927.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,0.0,227200.15
Natural Gas Transmission/Compression,333421.4,29624.5,187.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,0.0,363233.64
Other Chemicals,165111.3,79.75,98.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165289.688,0.0,0.0,2011,NY,0.0,0.0
Other Combustion,960518.4,719.75,1451.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,962689.4099999999,0.0
Other Manufacturing,316404.2999999999,176.0,382.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,316962.932,0.0
Other Metals,245783.7,105.0,129.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,246017.734,0.0
Other Minerals,120394.7,153.25,245.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120793.204,0.0,2011,NY,0.0,0.0
Other Paper Producers,205667.7,97.0,116.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,205881.516,0.0
Power Plants,35334408.40000001,37402.7,74595.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,0.0,35446406.162
Pulp and Paper Manufacturing,108764.4,4100.25,6984.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,119848.876,0.0
Solid Waste Combustion,1034525.2,24526.5,38226.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,1097278.544,0.0
Underground Natural Gas Storage,31430.5,6021.75,17.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,0.0,37469.83199999999
Universities,561707.0,414.0,545.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,NY,562666.638,0.0
"Aluminum Production, Industrial Landfills",510675.0,28994.25,38.442,0.0,620678.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,1160385.892,0.0
Cement Production,1451545.5,2016.75,3519.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1457081.928,0.0,2012,NY,0.0,0.0
"CO2 Capture, Ethanol Production, Wastewater Treatment",165229.9,416.25,90.29400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,165736.444,0.0
"CO2 Capture, Food Processing",32384.5,30.5,52.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,32467.746,0.0
Electronics Manufacturing,929656.2,2335.25,15442.36,107.6257,16852.286,1470.6,2667.72,56864.0,34.29,0.14247,0.0,0.0,1025430.47417,2012,NY,0.0,0.0
Ferroalloy Production,232670.5,1033.5,1.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,233705.192,0.0
Food Processing,334862.1,754.25,1248.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,336864.374,0.0
Glass Production,350909.4,125.25,150.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351185.14,0.0,2012,NY,0.0,0.0
"Industrial Landfills, Other Manufacturing",118944.8,1410.5,589.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,120944.744,0.0
"Industrial Landfills, Pulp and Paper Manufacturing",206649.3,65239.25,6924.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,278812.878,0.0
Iron and Steel Production,154245.1,34.0,60.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,154339.594,0.0
Lead Production,71615.8,8.25,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,71632.99,0.0
Military,34957.4,17.25,22.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,34996.702,0.0
Municipal Landfills,10496.277541,2168772.516,730.097616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,2179998.891157,0.0
"Natural Gas Distribution, Natural Gas Local Distribution Companies",15801.1,1507863.75,2.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,0.0,1523666.936
Natural Gas Transmission/Compression,322232.6,35619.0,179.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,0.0,358031.5920000001
Other Chemicals,165424.4,78.5,93.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165596.472,0.0,0.0,2012,NY,0.0,0.0
Other Combustion,905257.6000000001,444.0,668.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,906369.716,0.0
Other Manufacturing,165267.6,97.75,200.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,NY,165566.202,0.0
