Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,HFE,Very Short-lived Compounds,Power Plants,Petroleum and Natural Gas Systems,Waste,Pulp and Paper,Miscellaneous Combustion,Electronics Manufacturing,year,state
Electronics Manufacturing,36146.7,17.25,13871.9,10269.6794,270115.443,12761.16,17127.76,47983.8,678.3016,9.0576,0.0,0.0,0.0,0.0,0.0,408981.0516,2011,VT
Food Processing,25936.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25936.9,0.0,2011,VT
Municipal Landfills,88.3,124153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124241.3,0.0,0.0,0.0,2011,VT
"Natural Gas Distribution, Natural Gas Local Distribution Companies",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,VT
Other Combustion,28329.0,28.5,68.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28426.04,0.0,2011,VT
Other Paper Producers,38191.9,18.25,21.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38231.904,0.0,0.0,2011,VT
Power Plants,2371.5,2963.5,4669.660000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10004.66,0.0,0.0,0.0,0.0,0.0,2011,VT
Universities,27076.0,13.0,15.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27104.794,0.0,2011,VT
Electronics Manufacturing,34391.6,16.25,13023.196,9688.39,234338.257,18376.8,16338.28,41499.0,608.7019,0.0,0.0,0.0,0.0,0.0,0.0,368280.4749,2012,VT
Food Processing,24735.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24735.1,0.0,2012,VT
Municipal Landfills,73.1,121614.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121687.85,0.0,0.0,0.0,2012,VT
"Natural Gas Distribution, Natural Gas Local Distribution Companies",3.7,2731.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735.45,0.0,0.0,0.0,0.0,2012,VT
Other Combustion,30101.0,30.5,72.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30204.212,0.0,2012,VT
Other Paper Producers,35243.3,16.75,19.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35280.016,0.0,0.0,2012,VT
Power Plants,1263.4,2952.75,4648.501999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8864.652,0.0,0.0,0.0,0.0,0.0,2012,VT
Universities,22808.3,10.75,13.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22832.162,0.0,2012,VT
Electronics Manufacturing,38539.0,19.0,12811.02,7534.4136,180156.748,17435.16,15619.32,31474.01,658.0926,0.0,0.0,0.0,0.0,0.0,0.0,304246.7642000001,2013,VT
Food Processing,25975.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25975.7,0.0,2013,VT
Municipal Landfills,57.5,100086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100143.5,0.0,0.0,0.0,2013,VT
"Natural Gas Distribution, Natural Gas Local Distribution Companies",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,VT
Other Combustion,33249.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33274.0,0.0,2013,VT
Other Paper Producers,36050.3,17.25,20.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36088.112,0.0,0.0,2013,VT
Power Plants,2635.4,46.5,109.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2790.968,0.0,0.0,0.0,0.0,0.0,2013,VT
Universities,28559.8,14.0,17.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28591.68,0.0,2013,VT
Electronics Manufacturing,41014.1,21.5,13016.342,15474.4124,120630.60628,42923.28,26613.56,29385.0,693.8882,0.0,0.0,0.0,0.0,0.0,0.0,289772.68888,2014,VT
Food Processing,26655.4,22.25,53.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26730.992,0.0,2014,VT
Municipal Landfills,66.9,87953.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88020.4,0.0,0.0,0.0,2014,VT
"Natural Gas Distribution, Natural Gas Local Distribution Companies",4.2,2916.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2920.7,0.0,0.0,0.0,0.0,2014,VT
Other Combustion,27683.0,16.75,28.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27727.762,0.0,2014,VT
Other Paper Producers,36308.3,17.5,22.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36347.85200000001,0.0,0.0,2014,VT
