year,iso_3166_2,total
2011,AK,18789803.038000003
2012,AK,19033119.546321
2013,AK,18783388.959999997
2014,AK,18190225.852
2015,AK,18532505.338
2016,AK,15029349.514
2017,AK,15234728.172000002
2018,AK,14273857.644000001
2019,AK,14355167.873999998
2020,AK,14301696.688
2011,AL,111454219.03408
2012,AL,103295676.56055
2013,AL,102293496.44780001
2014,AL,104339012.55456
2015,AL,98459636.25024399
2016,AL,89798335.40566
2017,AL,85418802.205572
2018,AL,88428133.57817198
2019,AL,81847058.160432
2020,AL,73963464.35032402
2011,AR,46441547.969840005
2012,AR,47490091.836696
2013,AR,47225355.596000016
2014,AR,47131004.43
2015,AR,37904725.486
2016,AR,39111042.252
2017,AR,41305522.1
2018,AR,47509793.355000004
2019,AR,42152015.676
2020,AR,33181964.044000003
2011,AZ,59893820.16171601
2012,AZ,59680688.70767
2013,AZ,62102987.31907301
2014,AZ,61906140.40209502
2015,AZ,58620273.426217
2016,AZ,53020721.95324098
2017,AZ,52338360.389883995
2018,AZ,55970958.92653739
2019,AZ,51797765.71041199
2020,AZ,43677738.386198
2011,CA,104745688.67286183
2012,CA,116210862.59999351
2013,CA,116119918.43504949
2014,CA,118059367.83294338
2015,CA,114128017.77075101
2016,CA,99531856.12131068
2017,CA,95788248.57883768
2018,CA,97389112.65790592
2019,CA,93426197.501501
2020,CA,92367917.187786
2011,CO,54526806.031527
2012,CO,54052788.963415004
2013,CO,52634939.22004599
2014,CO,52293483.62098
2015,CO,51511159.82674799
2016,CO,47750784.430874996
2017,CO,46690494.58028398
2018,CO,45619630.93725798
2019,CO,45405335.34299299
2020,CO,40145556.70926299
2011,CT,9101744.316373002
2012,CT,9301032.222327001
2013,CT,9277642.501000002
2014,CT,9164454.376999998
2015,CT,9907368.326
2016,CT,9394954.503999999
2017,CT,8613981.884999996
2018,CT,10446855.955999995
2019,CT,9737266.596000003
2020,CT,10947802.022000002
2011,DC,531941.95
2012,DC,354526.114
2013,DC,337588.374
2014,DC,359811.674
2015,DC,317867.774
2016,DC,309365.586
2017,DC,310612.14
2018,DC,366295.478
2019,DC,345829.49199999997
2020,DC,300411.71400000004
2011,DE,6816495.463
2012,DE,9202707.975
2013,DE,8269038.265
